,booktitle,subtitles
0,红楼梦,
1,活着,
2,Nineteen Eighty-Four,
3,Cien años de soledad,
4,三体全集, : 地球往事三部曲 
5,Gone with the Wind,
6,Harry Potter,
7,房思琪的初恋乐园,
8,三国演义（全二册）,
9,Animal Farm,
10,福尔摩斯探案全集（上中下）,
11,白夜行,
12,Le Petit Prince,
13,天龙八部,
14,安徒生童话故事集,
15,撒哈拉的故事,
16,To Kill a Mocking Bird,
17,呐喊,
18,明朝那些事儿（1-9）, : 限量版 
19,沉默的大多数, : 王小波杂文随笔全编 
20,L'Etranger,
21,Storia della bambina perduta, : 那不勒斯四部曲4 
22,Storia del nuovo cognome, : 那不勒斯四部曲2 
23,中国历代政治得失,
24,A brief history of humankind, : 从动物到上帝 
25,平凡的世界（全三部）,
26,围城,
27,笑傲江湖（全四册）,
28,乡土中国,
29,El amor en los tiempos del cólera,
30,野草,
31,白鹿原,
32,Murder on the Orient Express,
33,Different Seasons,
34,Le Comte de Monte-Cristo,
35,Deng Xiaoping and the Transformation of China,
36,The Moon and Sixpence,
37,我与地坛, : 史铁生代表作 
38,River Town,
39,万历十五年,
40,城南旧事, : 纪念普及版 
41,彷徨,
42,The Kite Runner,
43,射雕英雄传,
44,The Story of Art,
45,The Razor's Edge,
46,Бра́тья Карама́зовы,
47,The Murder of Roger Ackroyd, : 阿加莎·克里斯蒂侦探作品集02 
48,悉达多, : 一首印度的诗 
49,Country Driving: A Journey Through China from Farm to Factory, : 从乡村到工厂的自驾之旅 
50,Flowers for Algernon,
51,许三观卖血记,
52,朝花夕拾,
53,容疑者Xの献身,
54,Kinder-und Hausmärchen,
55,故事新编,
56,And Then There Were None,
57,Pride and Prejudice,
58,The Baron in the Trees,
59,黄金时代, : 时代三部曲 
60,史记（全十册）, : （全十册） 
61,中国少年儿童百科全书（全四册）,
62,历史深处的忧虑, : 近距离看美国之一 
63,Les Misérables,
64,La Peste,
65,神鵰俠侶,
66,上帝掷骰子吗, : 量子物理史话 
67,西游记（全二册）,
68,The End of Eternity, : 关于时间旅行的终极奥秘和恢宏构想 
69,文学回忆录, : 1989—1994 
70,诗经,
71,台北人,
72,哭泣的骆驼,
73,En man som heter Ove,
74,A Thousand Splendid Suns,
75,Being Mortal: Medicine and What Matters in the End, : 关于衰老与死亡，你必须知道的常识 
76,人间词话,
77,窓ぎわのトットちゃん,
78,女ぎらい, : 日本的女性嫌恶 
79,看见,
80,浪潮之巅,
81,唐诗三百首,
82,呼兰河传, : 1947年版本・原版珍藏 
83,美的历程,
84,孽子,
85,道德经,
86,爱你就像爱生命,
87,我们仨,
88,Fall of Giants, : 世纪三部曲 
89,冬牧场,
90,海子的诗,
91,The Godfather,
92,Of Human Bondage,
93,四世同堂,
94,人生的智慧,
95,Storia di chi fugge e di chi resta, : 那不勒斯四部曲3 
96,Le città invisibili,
97,"BRAVE NEW WORLD,  BRAVE NEW WORLD REVISITED",
98,飞鸟集,
99,Stoner,
100,Преступление и наказание,
101,鹿鼎记,
102,Soulstealers: The Chinese Sorcery Scare of 1768, : 1768年中国妖术大恐慌 
103,秋园,
104,梦里花落知多少,
105,置身事内, : 中国政府与经济发展 
106,这些人，那些事,
107,陆犯焉识,
108,边城,
109,Educated:A Memoir,
110,ゴールデンスランバー,
111,A Brief History of Time, : 插图本 
112,The tales of Oscar Wilde,
113,刘擎西方现代思想讲义,
114,十万个为什么,
115,小径分岔的花园,
116,受戒, : 汪曾祺自选集 
117,Die Welt von Gestern: Erinnerungen eines Europäers, : 一个欧洲人的回忆 
118,毛泽东选集 第一卷,
119,Ensaio sobre a Cegueira,
120,Brief einer Unbekannten,
121,棋王·树王·孩子王, : 阿城文集 之一 
122,Story, : 材质·结构·风格和银幕剧作的原理 
123,絕叫,
124,经济学原理（上下）,
125,绿毛水怪,
126,茶馆,
127,國史大綱（上下）,
128,海的女儿,
129,人间草木,
130,Maybe You Should Talk to Someone,
131,The Painted Veil,
132,Steve Jobs: A Biography,
133,Sofies verden,
134,爱的艺术,
135,万水千山走遍,
136,クラインの壷,
137,Demian: die geschichte von emil sinclairs jugend, : 埃米尔·辛克莱的彷徨少年时 
138,阿勒泰的角落,
139,L'amica geniale, : 那不勒斯四部曲1 
140,不能承受的生命之轻, : 中文全译本百万纪念版 
141,温柔的夜,
142,桶川ストーカー殺人事件,
143,我也有一个梦想, : 近距离看美国之三 
144,球状闪电,
145,亮剑,
146,Voices from Chernobyl, : 来自切尔诺贝利的声音 
147,霸王别姬,
148,古文观止,
149,The Remains of the Day,
150,My Altay,
151,社会心理学, : （第8版） 
152,13 67, : 陳浩基作品2 
153,一句顶一万句,
154,倾城之恋,
155,The Lost Salt Gift of Blood,
156,孩子你慢慢来,
157,麦琪的礼物, : 欧·亨利短篇小说经典 
158,草房子,
159,风が强く吹いている,
160,送你一颗子弹,
161,Lust for Life, : 梵高传 
162,少年凯歌,
163,浮生六记,
164,ラヴレター,
165,九州·缥缈录,
166,All Things Bright and Beautiful,
167,遥远的向日葵地,
168,天朝的崩溃, : 鸦片战争再研究 
169,Death on the Nile,
170,野火集, : 二十年纪念版 
171,羅生門,
172,The Hitchhiker's Guide to the Galaxy,
173,半生缘,
174,倚天屠龙记,
175,Anna karenina,
176,悪意,
177,额尔古纳河右岸,
178,Πολιτεία,
179,"Guns, Germs and Steel: The Fates of Human Societies", : 人类社会的命运 
180,流水混账,
181,雨季不再来,
182,Crónica de una muerte anunciada,
183,玛丽苏病例报告,
184,雷雨,
185,亲爱的安德烈,
186,目送,
187,激荡三十年, : 中国企业1978-2008（珍藏图文版） 
188,ナミヤ雑貨店の奇蹟,
189,When Breath Becomes Air,
190,A Song of Ice and Fire, : （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂 
191,The Arabian Nights: Tales of 1001 Nights,
192,孙子兵法,
193,水浒传（全二册）,
194,总统是靠不住的, : 近距离看美国之二 
195,银河帝国：基地七部曲, : 百万册纪念版 
196,荒原狼,
197,2001: A Space Odyssey, : 《太空漫游四部曲》第1部 
198,A Global History: From Prehistory to the 21st Century, : 从史前史到21世纪 
199,Born a Crime: Stories from a South African Childhood, : 特雷弗·诺亚的变色人生 
200,认识电影, : 插图第11版 
201,论语,
202,Stories of Your Life and Others, : 特德·姜科幻小说集 
203,上学记,
204,顾城的诗,
205,The Martian,
206,The Thorn Birds,
207,象棋的故事,
208,The Emperor of All Maladies: A Biography of Cancer, : 癌症传 
209,毛姆短篇小说精选集,
210,ЗАПЕЧАТЛЕННОЕ ВРЕМЯ,
211,Almost Buddhist/近乎佛教徒, : 佛陀的证悟 
212,One Two Three... Infinity, : 科学中的事实和臆测 
213,What Are You Looking At?: 150 Years of Modern Art in the Blink of an Eye, : 一个未完成的故事 
214,青铜时代, : 时代三部曲 
215,此生未完成, : 一个母亲、妻子、女儿的生命日记 
216,金锁记,
217,庄子,
218,A Short History of Chinese Philosophy,
219,녹천에는 똥이 많다,
220,繁花,
221,Surveiller et punir, : 监狱的诞生 
222,骆驼祥子,
223,Das Parfum, : 一个谋杀犯的故事 
224,Charlotte's Web,
225,The Great Gatsby,
226,歩いても、歩いても,
227,Hamlet,
228,Время секонд хэнд,
